packet_number,timestamp,src_mac,dst_mac,ether_type,ether_type_name,payload_length,frame_length,payload_hex
1,2025-10-15 23:00:25.731570,,,,Unknown,160,160,86dd000000000003000104062ccf67b6d9ea0000610a20e60064064024098a280a2500e01ad5f453da770da024098a280a2500e0ec4eb4a42ec57d6700162cff5aa1edb1d752b987501802b99ebc0000b24d3fffabe5d2b6a794cd28b1dc9e74d0d7faafe2a003d396d66af540291175e57985caa4d577f0a8dbedf796c80f0b6ae74de36a481bcbd96c213aff123987aa26f389f595ee1e792bec8635a7c207
2,2025-10-15 23:00:25.732640,,,,Unknown,128,128,86dd000000000003000104062ccf67b6d9ea0000610a20e60044064024098a280a2500e01ad5f453da770da024098a280a2500e0ec4eb4a42ec57d6700162cff5aa1ee01d752b987501802b9940f0000b2a373dc8e833fd3ae89d69de15cb76a9247cf491b7978a8e8d19d4f02e6935c3081573442a79853266e9a6a105502b8
3,2025-10-15 23:00:25.732881,,,,Unknown,176,176,86dd000000000003000104062ccf67b6d9ea0000610a20e60074064024098a280a2500e01ad5f453da770da024098a280a2500e0ec4eb4a42ec57d6700162cff5aa1ee31d752b987501802b9635100005acc544240398c1d4e1c9a2ecc22b831e560c50810526f1712c63b58a60779fba06a14cce9bd9a1e68d06552d6d4054a93d099e30c4bd773d0260579c5bd766714c1f386ce3e43a61eb4f8fad3123f9e746bd7a71a20bea10cca1fa8b251bd24
4,2025-10-15 23:00:25.732927,,,,Unknown,160,160,86dd000000000003000104062ccf67b6d9ea0000610a20e60064064024098a280a2500e01ad5f453da770da024098a280a2500e0ec4eb4a42ec57d6700162cff5aa1ee91d752b987501802b90c5c000077c7860feac1fb6668d39759404717945a5f3cf023e57a7add1c52e58a970a65d1b5e89bea4346bbaf9684c35866709433bcbcb9d286a7c4f38552a9ca9de89a3a091855c7cf101aa783736183bd9606
5,2025-10-15 23:00:25.735407,,,,Unknown,80,80,86dd0000000000030001000670d82385d3a600006009f1d5001406ff24098a280a2500e0ec4eb4a42ec57d6724098a280a2500e01ad5f453da770da02cff0016d752b9875aa1eee1501000fff0940000
6,2025-10-15 23:00:25.738531,,,,Unknown,192,192,86dd0000000000030001000670d82385d3a600006009f1d5008406ff24098a280a2500e0ec4eb4a42ec57d6724098a280a2500e01ad5f453da770da02cff0016d752b9875aa1eee1501800ff7a3b0000ce13cf5e8931b9fc61eb2f13ea9e39e84dc7e06458828ae2ab388a1177582778f017c415c95bee4f35e0d38a7bffc9c07507bb2084fe1064ab7dea18c3772527a9273a5c527e50609a4955621ffe3a822cfe3e8a2d037a0f4983f6af05485b307885d1d5a8d7bee3f283d931da011fa6
7,2025-10-15 23:00:25.738611,,,,Unknown,128,128,86dd000000000003000104062ccf67b6d9ea0000610a20e60044064024098a280a2500e01ad5f453da770da024098a280a2500e0ec4eb4a42ec57d6700162cff5aa1eee1d752b9f7501802b949e000006626f9f635978a06a53c53188ccda975fac1ff5745199c1f7eee2062000132623d357b76ddccc51ce3ddde4a0d717dc9
8,2025-10-15 23:00:25.745257,,,,Unknown,80,80,86dd0000000000030001000670d82385d3a60000600dbf94001406ff24098a280a2500e0ec4eb4a42ec57d6724098a280a2500e01ad5f453da770da02d050016bbbae1a84b25124c501000fbd01b0000
9,2025-10-15 23:00:25.761464,,,,Unknown,292,292,86dd0000000000030001000670d82385d3a600006009f03400e806ff24098a280a2500e0ec4eb4a42ec57d6724098a280a2500e01ad5f453da770da01b9200165151c5962ce1f54d501807fe46d60000670c84152b020e4800f02075cf39102a873b8d072f4312aa2575a1587e989f0d141aae31947f9150e643701a499f0de6fc6e25655f8d8aef9e70d8b7d49da3d5afd7d92564b0dadc093544b2ada3cba83bd6ec10e59e13a12ee5c03c3d962ad69810f1e38a3f598676fb5443e835c07b8eeecaccdc5a2537ed5c657b6cba7ec8fa238ece48fce2755c13a132bfb15be016a73b53480b0d24d720f973be05d7ffb09f508d18e43b95bb7b90fcc64da43b640e3c8b124454354a2cf1b9851bb03f7cc5ece46b744750d7414733ea1d034748930e30
10,2025-10-15 23:00:25.761546,,,,Unknown,248,248,0800000000000001030400060000000000000000450000e402fa4000400639187f0000017f000001877697c9767355be6ee6caa38018bcf8fed800000101080abc1cbe68bc1cbd3182a66d6574686f64a97365727665726d7367a6706172616d7382a16901a4626f6479c48c02850227034320e86ecf77a05060c70885eb448502fcc8eb64ab9818904f8b6362c076c7c4381614802aeb9898a0fcc4dcccbcf49818e7fc945488aa9898f49cfca4c41c6868201f390d0bd7642b70c81543c2561f6a9a3ed4307d905990a04537091e54699939a9d8bdce05f5fa7290d73930bc3e81a40440b943a1715a5a9c5a044a31986e06000000ffff
11,2025-10-15 23:00:25.763387,,,,Unknown,152,152,08000000000000010304000600000000000000004500008439b44000400602be7f0000017f00000197c987766ee6caa37673566e80186a71fe7800000101080abc1cbe6abc1cbe6883a26964c0a66d6574686f64a97365727665726d7367a6706172616d7382a16901a4626f6479c4280289c40045401ac1a1c20e1289058a004f568188708044e26022205d6035f1c8221c00000000ffff
12,2025-10-15 23:00:25.763404,,,,Unknown,72,72,08000000000000010304000600000000000000004500003402fb4000400639c77f0000017f000001877697c97673566e6ee6caf38010bcf8fe2800000101080abc1cbe6abc1cbe6a
13,2025-10-15 23:00:25.763471,,,,Unknown,196,196,86dd000000000003000104062ccf67b6d9ea0000608563300088064024098a280a2500e01ad5f453da770da024098a280a2500e0ec4eb4a42ec57d6700161b922ce1f54d5151c66a5018328c8fc60000210f5d7dfddbdd69645ea7f3bd59cd9e0219d019de4dfbfe331c4826537543c7589d9af008fe7597d92f292eaef018a4d35701badcb735b793a4d9cef2d240ebba946bcd41619769d8c3b9da8ba33a814ffe8fe7c2f6fea42eb0ad738adb6cfaf965ff9084df19b4f1f5b65286a181e13a701b8e
14,2025-10-15 23:00:25.790338,,,,Unknown,80,80,86dd0000000000030001000670d82385d3a600006009f1d5001406ff24098a280a2500e0ec4eb4a42ec57d6724098a280a2500e01ad5f453da770da02cff0016d752b9f75aa1ef11501000ffeff40000
15,2025-10-15 23:00:25.824173,,,,Unknown,80,80,86dd0000000000030001000670d82385d3a600006009f034001406ff24098a280a2500e0ec4eb4a42ec57d6724098a280a2500e01ad5f453da770da01b9200165151c66a2ce1f5c1501007fe9b010000
16,2025-10-15 23:00:25.849826,,,,Unknown,92,92,86dd00000000000300010006146b9a0afcd000006048fe410020063028060263c48918cc546d6ab1eb48870524098a280a2500e01ad5f453da770da0c8d5a4a999aa3d8f99fc99b2801001f6e28f00000101080ac8ef88bb2f44af3c
17,2025-10-15 23:00:25.849843,,,,Unknown,160,160,86dd000000000003000104062ccf67b6d9ea0000604a2d5d0064064024098a280a2500e01ad5f453da770da028060263c48918cc546d6ab1eb488705a4a9c8d599fc99b299aa3d8f801801fa633600000101080a2f44b029c8ef88bb6e1332c812111fc1bd5319e64ff01080c541da17601884dd9e8c80d9794f5c4c988b39802d6a0ef51aba036cde4e739eb85c3af382a06e0771bbdf13aa5bad64179cd7d0
18,2025-10-15 23:00:25.851223,,,,Unknown,92,92,86dd00000000000300010006146b9a0afcd000006048fe410020063028060263c48918cc546d6ab1eb48870524098a280a2500e01ad5f453da770da0c8d5a4a999aa3d8f99fc99b2801101f6e28d00000101080ac8ef88bc2f44af3c
19,2025-10-15 23:00:25.851293,,,,Unknown,92,92,86dd000000000003000104062ccf67b6d9ea0000604a2d5d0020064024098a280a2500e01ad5f453da770da028060263c48918cc546d6ab1eb488705a4a9c8d599fc99f699aa3d90801101fae15500000101080a2f44b02bc8ef88bc
20,2025-10-15 23:00:25.859716,,,,Unknown,183,183,0800000000000001030400060000000000000000450000a339b540004006029e7f0000017f00000197c987766ee6caf37673566e80186a71fe9700000101080abc1cbecabc1cbe6a83a26964c0a66d6574686f64a97365727665726d7367a6706172616d7382a16900a4626f6479c4470279f30ed49b9b10ebff9691b4fecf253fb9343735afa458bfa0282bbea012b88e334f3f2fb5a43cbf283b3e312f513f39b1a0a4b428d550af00c8a2de2a4dc35a00000000ffff
21,2025-10-15 23:00:25.859732,,,,Unknown,72,72,08000000000000010304000600000000000000004500003402fc4000400639c67f0000017f000001877697c97673566e6ee6cb628010bcf8fe2800000101080abc1cbecabc1cbeca
22,2025-10-15 23:00:25.859800,,,,Unknown,228,228,86dd000000000003000104062ccf67b6d9ea00006085633000a8064024098a280a2500e01ad5f453da770da024098a280a2500e0ec4eb4a42ec57d6700161b922ce1f5c15151c66a5018328cb5bc00009233fa983d24c7c9427b100e8e7587a420d5f263fc3234531c7d24e701f961fc4814c493e830f25d32aab0fa515440ade79afac007a3b3ca113a7801c18dfa03f71f38218f78eb215fc20ec32f6c7980af688d362305a62ad4fd007d776a3919f2a0a8c9b4c69fd6c89cba21f2cd4039a16eb450f77c0062fd883770d160b00cb5321da59142f7a920d88d305bd779ebead6d5da
23,2025-10-15 23:00:25.863465,,,,Unknown,220,220,86dd0000000000030001000670d82385d3a600006009f03400a006ff24098a280a2500e0ec4eb4a42ec57d6724098a280a2500e01ad5f453da770da01b9200165151c66a2ce1f655501807fd1abb0000d80159a24c2b4286e0236b3bc601e9d8c737cbb6651f1806d2fe9f4cea8aa8f557e1cd81b3e6e23b9a0cc344c984514fba69e7ea86f2d8c7ada79ec72f114ab2d29789297bbc403ee57691dc943e501c145b71ad9bf6213132228c3402fe731b7445900ce81edf1a2e79ede787c99b889a9decf0e92458ccaf3bd0d9131c3bc0e444c7c4260aaa40767e3034
24,2025-10-15 23:00:25.863518,,,,Unknown,174,174,08000000000000010304000600000000000000004500009a02fd40004006395f7f0000017f000001877697c97673566e6ee6cb628018bcf8fe8e00000101080abc1cbecebc1cbeca82a66d6574686f64a97365727665726d7367a6706172616d7382a16901a4626f6479c44202b9999b81211074fde645909b3931dcbc8ba48de0f003ccf50b8ab2e2217749e8e7a5968092697c625ea27e726241496951aaa15e417262018d8f5700000000ffff
25,2025-10-15 23:00:25.864979,,,,Unknown,148,148,08000000000000010304000600000000000000004500008039b64000400602c07f0000017f00000197c987766ee6cb62767356d480186a71fe7400000101080abc1cbecfbc1cbece83a26964c0a66d6574686f64a97365727665726d7367a6706172616d7382a16901a4626f6479c424028924004580a7af4074718244126122205d609124a808f8a0183f0207c500000000ffff
26,2025-10-15 23:00:25.865060,,,,Unknown,196,196,86dd000000000003000104062ccf67b6d9ea0000608563300088064024098a280a2500e01ad5f453da770da024098a280a2500e0ec4eb4a42ec57d6700161b922ce1f6555151c6f65018328cc5be0000f1e65122ba8df559d8f655b83d78044c12fda42730397a390a1ef3a5ed741b3e4ce3f3c608ddbfe939ebf803b974501e8cf284fd3341ef7ea89609551f18395f1c4b836f5b4710fe63f9e8c53910410b4eb9de1a2eb0d251cac7a1be63d5d7ec7d0b380036f8e8db62d933897ae3cf4538c7c272
27,2025-10-15 23:00:25.867530,,,,Unknown,104,104,0800000000000003000104062ccf67b6d9ea000045000054f8d1400040017015c0a8010a0808080808007ea40009002309b7ef6800000000b43c0d0000000000101112131415161718191a1b1c1d1e1f202122232425262728292a2b2c2d2e2f3031323334353637
28,2025-10-15 23:00:25.868956,,,,Unknown,180,180,86dd0000000000030001000670d82385d3a600006009f034007806ff24098a280a2500e0ec4eb4a42ec57d6724098a280a2500e01ad5f453da770da01b9200165151c6f62ce1f6c9501807fc02430000cc22f90f8585cf287a906845a0ddb50799ae9e96f4c06965481bf0dfcb45f68731f3dd4ca961bcf7ece339429cf805c384e72bc55dc4540ccdc63140b6b266e02ccc43b560db49b8da7ddee6e8d058f95d4256693e163055f03d47b74be14d1a6c257feb
